route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
49-2256,GLINE_2-S1-Sa-Saturday-03,57943337-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943338-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943339-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943340-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943341-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943342-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943343-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943344-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943345-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943346-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943347-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943348-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943349-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943350-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943351-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943352-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943353-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943354-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943355-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943356-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943357-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943358-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
