route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12-2254,GLINE_2-S1-Wk-Weekday-05,57939960-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939961-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939962-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939963-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939964-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939965-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939966-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939967-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939968-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939969-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939970-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
10-2254,GLINE_2-S1-Wk-Weekday-05,57939971-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-10-s1-1
