stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_x_coord,stop_y_coord,zone_id,stop_url,location_type,parent_station
13283,,"Madison St / Summit Ave",,  47.610371,-122.322671,1273069.3,226198.8,,,0,
13284,,"Madison St / Terry Aly",,  47.609205,-122.325628,1272331.8,225787.8,,,0,
13291,,"Madison St / Boren Ave",,  47.609483,-122.324796,1272539.1,225885.0,,,0,
13292,,"Madison St / Summit Ave",,  47.610356,-122.322538,1273102.1,226192.7,,,0,
13310,,"19th Ave E / E Denny Way",,  47.618699,-122.307379,1276898.9,229163.5,,,0,
13320,,"19th Ave E / E John St",,  47.619872,-122.307359,1276912.0,229591.2,,,0,
13330,,"19th Ave E / E Thomas St",,  47.620681,-122.307346,1276921.0,229886.1,,,0,
13340,,"19th Ave E / E Harrison St",,  47.621861,-122.307326,1276934.1,230316.5,,,0,
13350,,"19th Ave E / E Republican Aly",,  47.623407,-122.307301,1276951.1,230879.9,,,0,
13360,,"19th Ave E / E Roy St",,  47.625474,-122.307314,1276962.2,231634.1,,,0,
13370,,"19th Ave E / E Aloha St",,  47.627046,-122.307293,1276978.5,232207.0,,,0,
13380,,"19th Ave E / E Prospect St",,  47.628863,-122.307268,1276997.2,232869.7,,,0,
13381,,"19th Ave E / E Highland Dr",,  47.630810,-122.307242,1277017.2,233579.8,,,0,
13441,,"Bellevue Ave / E Olive Way",,  47.616735,-122.326789,1272098.8,228539.3,,,0,
13460,,"Bellevue Ave / E Olive St",,  47.616508,-122.326787,1272097.7,228456.7,,,0,
20829,,"Denny Way / 2nd Ave",,  47.618653,-122.352603,1265747.2,229363.5,,,0,
20830,,"Denny Way / Pedestrian Walk",,  47.618585,-122.350719,1266211.4,229329.7,,,0,
21080,,"SW Roxbury St / 15th Ave SW",,  47.517372,-122.353564,1264780.4,192431.7,,,0,
21090,,"SW Roxbury St / Pedestrian Walk",,  47.517334,-122.350327,1265579.8,192402.1,,,0,
21110,,"SW Roxbury St / 8th Ave SW",,  47.517303,-122.345058,1266881.5,192365.2,,,0,
21120,,"SW Roxbury St / Olson Pl SW",,  47.517245,-122.341118,1267854.4,192325.0,,,0,
21140,,"Olson Pl SW / 3rd Ave SW",,  47.519778,-122.338292,1268570.7,193235.0,,,0,
21141,,"Olson-Myers Way P&R AcRd / Olson-Myers Way P&R AcR",,  47.519573,-122.336104,1269109.7,193149.5,,,0,
21150,,"Olson Pl SW / 3rd Ave SW",,  47.519646,-122.338469,1268526.1,193187.8,,,0,
21170,,"SW Roxbury St / 5th Ave SW",,  47.517347,-122.342171,1267594.9,192367.3,,,0,
21310,,"Delridge Way SW / SW Cambridge St",,  47.519386,-122.356977,1263951.7,193182.7,,,0,
