route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10-2255,GLINE_2-S1-Su-Sunday-04,57941021-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941022-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941023-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941024-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941025-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941026-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941027-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941028-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941029-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941030-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941031-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941032-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941033-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941034-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941035-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941036-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941037-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941038-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
12-2255,GLINE_2-S1-Su-Sunday-04,57941154-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941155-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941156-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941157-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941158-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941159-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941160-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941161-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941162-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941163-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941164-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941165-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941166-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941167-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941168-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941169-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941170-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941171-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941172-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941173-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941174-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941175-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421864,S1-Su04-12-n1-0
12-2255,GLINE_2-S1-Su-Sunday-04,57941176-GLINE_2-S1-Su-Sunday-04,"to Interlaken Park",0,6421865,S1-Su04-12-n1-0
